Indepentent_vari,predicted_prob,ci_lower,ci_upper,parliament_session,environment
galtan,0.41,0.34,0.47,EP7,Environment
galtan,0.56,0.52,0.59,EP8,Environment
galtan,0.70,0.67,0.74,EP9,Environment
galtan,0.50,0.45,0.54,EP7,Non-environment
galtan,0.44,0.40,0.48,EP8,Non-environment
galtan,0.66,0.61,0.71,EP9,Non-environment
eu_position,0.60,0.56,0.64,EP7,Environment
eu_position,0.71,0.69,0.74,EP8,Environment
eu_position,0.79,0.76,0.81,EP9,Environment
eu_position,0.80,0.77,0.84,EP7,Non-environment
eu_position,0.73,0.69,0.76,EP8,Non-environment
eu_position,0.77,0.73,0.80,EP9,Non-environment
lrgen,0.66,0.58,0.74,EP7,Environment
lrgen,0.69,0.65,0.72,EP8,Environment
lrgen,0.66,0.63,0.69,EP9,Environment
lrgen,0.87,0.82,0.93,EP7,Non-environment
lrgen,0.70,0.66,0.75,EP8,Non-environment
lrgen,0.63,0.59,0.68,EP9,Non-environment